codigo_anunciante,codigo_zapimoveis,dtCriacao,dtColeta,imobiliaria,nrPreco,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,FURNISHED,POOL,ELEVATOR,LAVABO,SAUNA,PORCELAIN,INTERCOM,AIR_CONDITIONING,numberOfSuites,PETS_ALLOWED,BALCONY,BACKYARD,SPORTS_COURT,BARBECUE_GRILL,LAUNDRY,ALARM_SYSTEM,SERVICE_AREA,GARDEN,DEPOSIT,PLAYGROUND,SEA_VIEW,GOURMET_BALCONY,KITCHEN,PARTY_HALL,CABLE_TV,KITCHEN_CABINETS,SAFETY_CIRCUIT,GATED_COMMUNITY,HEATING,CONCIERGE_24H,WATCHMAN,GOURMET_SPACE,GYM,BICYCLES_PLACE,DINNER_ROOM,PAVED_STREET,RECEPTION,CLOSET,CARETAKER,ARMORED_SECURITY_CABIN,RECREATION_AREA,ELECTRONIC_GATE,INTERNET_ACCESS,BLINDEX_BOX,BEDROOM_WARDROBE,BATHROOM_CABINETS,DISABLED_ACCESS,HOME_OFFICE,SPA,TENNIS_COURT,INDOOR_SOCCER,MOUNTAIN_VIEW,CHILDRENS_POOL,DECK,MASSAGE_ROOM,GRASS,CINEMA,SQUASH,COPA,AMERICAN_KITCHEN,ELECTRIC_GENERATOR,TOYS_PLACE,PANTRY,BAR,FIREPLACE,GAMES_ROOM,WALL_BALCONY,PLANNED_FURNITURE,ALUMINUM_WINDOW,NATURAL_VENTILATION,LARGE_WINDOW,EMPLOYEE_DEPENDENCY,ENTRANCE_HALL,SERVICE_BATHROOM,INTEGRATED_ENVIRONMENTS,HIGH_CEILING_HEIGHT,LARGE_ROOM,COLD_FLOOR,WHIRLPOOL,BARBECUE_BALCONY,BUILTIN_WARDROBE,SQUARE,HEATED_POOL,TEEN_SPACE,SERVICE_ROOM,STAIR,FULL_FLOOR,FITNESS_ROOM,LARGE_KITCHEN,PANORAMIC_VIEW,PLATED_GAS,LAMINATED_FLOOR,ADULT_POOL,GREEN_SPACE,PIZZA_OVEN,BEAUTY_CENTER,SECURITY_CAMERA,SECURITY_CABIN,COWORKING,COOKER,SOLARIUM,FOOTBALL_FIELD,GOURMET_KITCHEN,BATHTUB,SANCA,PET_SPACE,SERVICE_ENTRANCE,PRIVATE_POOL,DIGITAL_LOCKER,WOOD_FLOOR,VALET_PARKING,PARKING,MEZZANINE,LUNCH_ROOM,PATROL,GLASS_WALL,SMALL_ROOM,CORNER_PROPERTY,ADMINISTRATION,GAS_SHOWER,MEETING_ROOM,MASSAGE,TREE_CLIMBING,LIBRARY,HIKING_TRAIL,SMART_CONDOMINIUM,POOL_BAR,RESTAURANT,COVENTION_HALL,SOUNDPROOFING,SIDE_ENTRANCE,ZEN_SPACE,REDARIO,HALF_FLOOR,COVERED_POOL,GUEST_PARKING,REVERSIBLE_ROOM,STORES,BEAUTY_ROOM,COVERAGE,ELETRIC_CHARGER,SEMI_OLYMPIC_POOL,ECO_GARBAGE_COLLECTOR,VINYL_FLOOR,SLAB,LAKE_VIEW,FRUIT_TREES,HOT_TUB,THERMAL_INSULATION,DIVIDERS,WALLS_GRIDS,FREEZER
AP02970,2787707942,16/03/2025,29/05/2025,Officina De Negocios 013 Imobiliaria Ltda,R$ 636.000,R$ 748,R$ 368,"Campo Grande, Santos - SP",74 m²,2 quartos,2 banheiros,1 vaga,4 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,Churrasqueira,,,,,,Playground,,,Cozinha,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,Bicicletário,,,,,,Guarita blindada,Área de lazer,,,,,,,Escritório,Spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap15111,2782952682,28/02/2025,29/05/2025,Kaylan,R$ 900.000,não informado,R$ 170,"Avenida Bartholomeu de Gusmão, 3 - Boqueirão, Santos - SP",88 m²,2 quartos,1 banheiro,1 vaga,,,,Elevador,,,,,Ar-condicionado,,,,,,,,,,,,,,Varanda gourmet,,,,,,Condomínio fechado,,Portaria 24h,,,,Bicicletário,,,,,,,,Portão eletrônico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,2788206320,18/03/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 425.000,R$ 683,R$ 149,"Vila Matias, Santos - SP",70 m²,2 quartos,2 banheiros,1 vaga,8 andar,,,Elevador,,,,Interfone,,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,Salão de festas,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03757,2747123836,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 1.390.000,R$ 1.450,R$ 440,"Rua Ceará - Pompeia, Santos - SP",145 m²,3 quartos,3 banheiros,2 vagas,10 andar,Mobiliado,,Elevador,,,,,Ar-condicionado,1 suíte,,Varanda,,,,Lavanderia,,,,,,,,Cozinha,,,Armário na cozinha,Circuito de segurança,,,Portaria 24h,,,,,,,,,,Guarita blindada,,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP14323,2757625239,18/11/2024,29/05/2025,R3 Imóveis,R$ 1.490.000,R$ 1.811,R$ 7.709,"Avenida Washington Luís, 489 - Boqueirão, Santos - SP",301 m²,4 quartos,4 banheiros,2 vagas,7 andar,,,Elevador,Lavabo,,,,Ar-condicionado,1 suíte,,Varanda,,,,Lavanderia,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,Escritório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19931,2655177168,11/09/2023,29/05/2025,Roda Imoveis Ltda - Epp,R$ 994.420,isento,não informado,"Avenida Barão de Penedo - José Menino, Santos - SP",75 m²,2 quartos,2 banheiros,1 vaga,11 andar,,,,,,,,,1 suíte,,,,,,,,,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP6838,2751949167,25/10/2024,29/05/2025,Chave Santos Imóveis,R$ 540.000,R$ 900,R$ 120,"Avenida Doutor Pedro Lessa - Ponta da Praia, Santos - SP",71 m²,2 quartos,2 banheiros,1 vaga,7 andar,,,Elevador,,,,Interfone,Ar-condicionado,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4862,2804471629,09/05/2025,29/05/2025,Viver Em Santos Imoveis Ltda,R$ 2.050.000,R$ 1.000,R$ 667,"Boqueirão, Santos - SP",127 m²,3 quartos,4 banheiros,2 vagas,17 andar,,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,3 suítes,Aceita animais,Varanda,,Quadra poliesportiva,Churrasqueira,,,Área de serviço,,Depósito,Playground,Vista para o mar,Varanda gourmet,Cozinha,Salão de festas,,,,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,Closet,,,,,,,,,,,Spa,,,,,,Sala de massagem,,Cinema,Quadra de squash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28432,2798045570,16/04/2025,29/05/2025,Roda Imoveis Ltda - Epp,R$ 965.000,R$ 851,R$ 500,"Rua Santos Dumont - Estuario, Santos - SP",183 m²,2 quartos,3 banheiros,1 vaga,3 andar,,Piscina,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,Quintal,,Churrasqueira,,,Área de serviço,Jardim,,,,Varanda gourmet,Cozinha,Salão de festas,,,Circuito de segurança,Condomínio fechado,,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP5263,2775815321,31/01/2025,29/05/2025,Torres Prime Consultoria Imobiliaria,R$ 740.000,R$ 1.200,R$ 220,"Rua Galeão Carvalhal - Gonzaga, Santos - SP",119 m²,3 quartos,3 banheiros,,11 andar,,,,,,Porcelanato,,,2 suítes,,,,,,,,Área de serviço,,,,,,,,,,,,,Portaria 24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2806408949,15/05/2025,29/05/2025,Apollo-On,R$ 640.000,R$ 1.200,R$ 172,"Praça Independência, 11 - Gonzaga, Santos - SP",110 m²,3 quartos,2 banheiros,1 vaga,12 andar,,,Elevador,,,,,,,,,,,,Lavanderia,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03714,2756790770,14/11/2024,29/05/2025,Globalize Imóveis,R$ 1.980.000,R$ 1.300,R$ 584,"Rua Luis Suplici - Gonzaga, Santos - SP",119 m²,3 quartos,4 banheiros,2 vagas,,,Piscina,Elevador,,Sauna,,,,3 suítes,Aceita animais,,,,Churrasqueira,,,,,,Playground,,Varanda gourmet,Cozinha,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,Espaço gourmet,Academia,,,,,,,,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21068,2775734927,31/01/2025,29/05/2025,Gávea Imobi,R$ 850.000,R$ 1.200,R$ 200,"Avenida Presidente Wilson, 156 - José Menino, Santos - SP",92 m²,3 quartos,3 banheiros,1 vaga,4 andar,,,Elevador,,,,Interfone,,2 suítes,,Varanda,,,,,,Área de serviço,,,,Vista para o mar,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EH-DR,2805834440,14/05/2025,29/05/2025,Estevan Hara,R$ 649.000,R$ 850,R$ 244,"Rua Professor Torres Homem, 471 - Embaré, Santos - SP",92 m²,2 quartos,3 banheiros,1 vaga,2 andar,,,Elevador,,,Porcelanato,,Ar-condicionado,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,,,,Armário na cozinha,,Condomínio fechado,,,,,,,,,,,,,,Portão eletrônico,,Box blindex,Armário embutido no quarto,Armário no banheiro,Acesso para deficientes,,,,,,,,,,,,,,,,,,,,,Móvel planejado,Janela de alumínio,Ventilação natural,Janela grande,Dependência de empregados,,Banheiro de serviço,,,Sala grande,,,,Armário embutido,,,,,,,,Cozinha grande,,,,,,,,Câmera de segurança,,,,,,,,Gesso - Sanca - Teto Rebaixado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10579,2654134082,06/09/2023,29/05/2025,Familia Imoveis Consultoria,R$ 520.000,R$ 600,R$ 100,"Avenida Conselheiro Rodrigues Alves - Macuco, Santos - SP",65 m²,2 quartos,1 banheiro,1 vaga,8 andar,,,Elevador,,,,Interfone,,1 suíte,,Varanda,,,,,,,,,,,,Cozinha,Salão de festas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431337T,2808949014,25/05/2025,29/05/2025,Usuário Newcore,R$ 339.090,R$ 319,R$ 111,"Rua Professor Torres Homem, 34 - Embaré, Santos - SP",65 m²,2 quartos,1 banheiro,,,,,,,,,,,,Aceita animais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REO915682,2765057892,18/12/2024,29/05/2025,Lopes Conceito,R$ 1.390.000,R$ 1.500,R$ 560,"Rua Ceará - Pompeia, Santos - SP",160 m²,3 quartos,5 banheiros,2 vagas,,,,,,,,,,3 suítes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4265,2779394651,15/02/2025,29/05/2025,Apollo-On,R$ 960.000,R$ 2.700,R$ 336,"Rua Galeão Carvalhal, 30 - Gonzaga, Santos - SP",208 m²,3 quartos,5 banheiros,2 vagas,3 andar,,,Elevador,,,,,,3 suítes,,,,,,Lavanderia,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,Recepção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,2726126835,03/07/2024,29/05/2025,Conceito 013 Imóveis,R$ 3.750.000,R$ 1.950,R$ 900,"Avenida Doutor Epitácio Pessoa, 141 - Boqueirão, Santos - SP",204 m²,4 quartos,4 banheiros,3 vagas,27 andar,,Piscina,Elevador,,Sauna,,Interfone,,2 suítes,,Varanda,,Quadra poliesportiva,Churrasqueira,Lavanderia,,,,,Playground,Vista para o mar,Varanda gourmet,,Salão de festas,,,,,,,Vigia,,Academia,,,,,,,,,,,,,,,Escritório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP9922,2617814696,10/03/2023,29/05/2025,R3 Imóveis,R$ 640.000,R$ 830,R$ 307,"Rua Afonso Celso de Paula Lima, 30 - Ponta da Praia, Santos - SP",122 m²,3 quartos,1 banheiro,1 vaga,2 andar,,,,,,,Interfone,,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP09582,2765953431,22/12/2024,29/05/2025,Duarte Prime Brokers,R$ 745.000,R$ 530,não informado,"Rua Dom Lara - Boqueirão, Santos - SP",54 m²,1 quarto,2 banheiros,1 vaga,7 andar,,Piscina,Elevador,,,,Interfone,,1 suíte,Aceita animais,,,,Churrasqueira,,,,,,,,Varanda gourmet,Cozinha,Salão de festas,,,,,,,,Espaço gourmet,Academia,,,,,,,Guarita blindada,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP15198,2785936214,11/03/2025,29/05/2025,R3 Imóveis,R$ 500.000,R$ 404,R$ 168,"Rua Vinte e Oito de Setembro, 295 - Macuco, Santos - SP",49 m²,1 quarto,1 banheiro,1 vaga,17 andar,,Piscina,Elevador,,,,,Ar-condicionado,,Aceita animais,Varanda,,,Churrasqueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4508,2794497743,05/04/2025,29/05/2025,Apollo-On,R$ 530.000,R$ 450,isento,"Rua Conselheiro João Alfredo, 350 - Macuco, Santos - SP",70 m²,2 quartos,2 banheiros,1 vaga,4 andar,,,Elevador,,,,,,1 suíte,,,,,,Lavanderia,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723253445,2793168620,01/04/2025,29/05/2025,Bella Vista Imóveis Itarare,R$ 1.083.000,R$ 551,R$ 355,"Rua Newton Prado - José Menino, Santos - SP",75 m²,2 quartos,2 banheiros,1 vaga,5 andar,,Piscina,,,,,,,2 suítes,,Varanda,,,,,,,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP08799,2717100142,24/05/2024,29/05/2025,Duarte Prime Brokers,R$ 695.000,R$ 700,R$ 270,"Avenida Governador Fernando Costa - Ponta da Praia, Santos - SP",66 m²,2 quartos,3 banheiros,1 vaga,2 andar,,,Elevador,,,,Interfone,,1 suíte,,Varanda,,,Churrasqueira,,,,,,Playground,,,,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,,,,,,,Guarita blindada,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30447,2750874053,22/10/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 1.220.000,R$ 780,R$ 350,"Gonzaga, Santos - SP",74 m²,2 quartos,3 banheiros,2 vagas,4 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,,Churrasqueira,,Sistema de alarme,Área de serviço,,,Playground,,Varanda gourmet,Cozinha,Salão de festas,TV à cabo,,Circuito de segurança,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,,Academia,,,,,Closet,,,,,,,,,,,Spa,,,,,,Sala de massagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U6JWCPPW,2695675178,05/03/2024,29/05/2025,Adelino Pinheiro Neto,R$ 120.000.000,R$ 850,R$ 350,"Rua Dona Amélia Leuchtenberg, 80 - Ponta da Praia, Santos - SP",101 m²,3 quartos,4 banheiros,2 vagas,17 andar,Mobiliado,Piscina,Elevador,,Sauna,,,Ar-condicionado,2 suítes,Aceita animais,,,Quadra poliesportiva,Churrasqueira,,,,Jardim,,Playground,,Varanda gourmet,,Salão de festas,,,,Condomínio fechado,,Portaria 24h,,Espaço gourmet,Academia,Bicicletário,,,,,,,,Portão eletrônico,,,,,Acesso para deficientes,,,,,,,,,,,,,Cozinha americana,,,,,,Salão de jogos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,2803769618,07/05/2025,29/05/2025,Elton Ayres Imóveis,R$ 498.000,R$ 160,R$ 850,"Rua Doutor Carvalho de Mendonça, 247 - Marapé, Santos - SP",82 m²,3 quartos,2 banheiros,1 vaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22560,2804201050,08/05/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 1.330.000,R$ 1.193,R$ 377,"Gonzaga, Santos - SP",79 m²,2 quartos,2 banheiros,1 vaga,12 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,,Churrasqueira,,,Área de serviço,,,,Vista para o mar,,Cozinha,Salão de festas,TV à cabo,,Circuito de segurança,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,,Academia,,,,,,,,,,Conexão à internet,,,,,,,,,Vista para a montanha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,2775693924,31/01/2025,29/05/2025,Elton Ayres Imóveis,R$ 460.000,R$ 632,R$ 59,"Avenida Marechal Floriano Peixoto, 272 - José Menino, Santos - SP",40 m²,1 quarto,1 banheiro,1 vaga,12 andar,Mobiliado,,Elevador,,,,Interfone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP1641,2805162985,12/05/2025,29/05/2025,Joyce Pereira,R$ 680.000,R$ 700,R$ 270,"Avenida Governador Fernando Costa, 557 - Ponta da Praia, Santos - SP",96 m²,2 quartos,3 banheiros,1 vaga,2 andar,,,Elevador,,,,,,1 suíte,Aceita animais,,,,,,,,,,Playground,,,,Salão de festas,,,,,,Portaria 24h,,,,,,,,,,,Área de lazer,Portão eletrônico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,2773172026,22/01/2025,29/05/2025,Elton Ayres Imóveis,R$ 749.000,R$ 900,R$ 280,"Avenida Senador Pinheiro Machado, 930 - José Menino, Santos - SP",158 m²,3 quartos,3 banheiros,1 vaga,,,,Elevador,,,,,,1 suíte,,Varanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP5909,2751948338,25/10/2024,29/05/2025,Chave Santos Imóveis,R$ 1.800.000,R$ 2.400,R$ 600,"Avenida Washington Luís - Gonzaga, Santos - SP",226 m²,4 quartos,4 banheiros,2 vagas,2 andar,,,Elevador,Lavabo,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP8326,2725780907,02/07/2024,29/05/2025,Casabella Imóveis Diferenciados,R$ 1.090.000,R$ 550,isento,"Boqueirão, Santos - SP",88 m²,2 quartos,3 banheiros,1 vaga,4 andar,,Piscina,Elevador,Lavabo,,Porcelanato,Interfone,,2 suítes,Aceita animais,,,,Churrasqueira,,,,,,,,Varanda gourmet,Cozinha,Salão de festas,,,,,,,,Espaço gourmet,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP00343,2747125693,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 750.000,R$ 700,R$ 258,"Rua Rio Grande do Sul - José Menino, Santos - SP",59 m²,2 quartos,2 banheiros,1 vaga,15 andar,,Piscina,,,,,Interfone,Ar-condicionado,1 suíte,,Varanda,,,Churrasqueira,,Sistema de alarme,,,,Playground,Vista para o mar,,Cozinha,Salão de festas,TV à cabo,Armário na cozinha,Circuito de segurança,,,Portaria 24h,,Espaço gourmet,Academia,Bicicletário,,,,,,Guarita blindada,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP2210,2718361269,30/05/2024,29/05/2025,Srw Imóveis Santos,R$ 2.300.000,R$ 1.500,R$ 200,"Avenida Presidente Wilson - Gonzaga, Santos - SP",157 m²,2 quartos,4 banheiros,1 vaga,10 andar,Mobiliado,,Elevador,,,Porcelanato,Interfone,Ar-condicionado,2 suítes,Aceita animais,,,,,Lavanderia,,Área de serviço,,,,Vista para o mar,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,2795926627,10/04/2025,29/05/2025,Elton Ayres Imóveis,R$ 680.000,R$ 550,R$ 360,"Rua Godofredo Fraga, 10 - Marapé, Santos - SP",63 m²,2 quartos,2 banheiros,1 vaga,6 andar,,Piscina,Elevador,,,,,,1 suíte,,Varanda,,Quadra poliesportiva,Churrasqueira,,,,,,Playground,,,,Salão de festas,,,,,,,,,Academia,,,,,,,,,,,,,,,,,Quadra de tênis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP04832,2796424348,11/04/2025,29/05/2025,Ricci Consultoria Imobiliaria,R$ 850.000,R$ 1.000,R$ 500,"Rua Santos Dumont - Macuco, Santos - SP",163 m²,2 quartos,3 banheiros,1 vaga,,Mobiliado,Piscina,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,Quintal,,Churrasqueira,,,,,,,,,,,,Armário na cozinha,,,,Portaria 24h,,,Academia,Bicicletário,,,,,,Guarita blindada,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
