codigo_anunciante,codigo_zapimoveis,dtCriacao,dtColeta,imobiliaria,nrPreco,nrCondominio,nrIptu,endereco,nrArea(m2),nrQuartos,nrBanheiros,nrVagas,nrAndar,nrSuites,dMobiliado,dPiscina,dElevador,dLavabo,dSauna,dPorcelanato,dInterfone,dAr-condicionado,dAceita animais,dVaranda,dQuintal,dQuadra poliesportiva,dChurrasqueira,dLavanderia,dSistema de alarme,dÁrea de serviço,dJardim,dDepósito,dPlayground,dVista para o mar,dVaranda gourmet,dCozinha,dSalão de festas,dTV à cabo,dArmário na cozinha,dCircuito de segurança,dCondomínio fechado,dAquecimento,dPortaria 24h,dVigia,dEspaço gourmet,dAcademia,dBicicletário,dSala de jantar,dRua asfaltada,dRecepção,dCloset,dZelador,dGuarita blindada,dÁrea de lazer,dPortão eletrônico,dConexão à internet,dBox blindex,dArmário embutido no quarto,dArmário no banheiro,dAcesso para deficientes,dEscritório,dSpa,dQuadra de tênis,dQuadra de futebol de salão,dVista para a montanha,dPiscina infantil,dDeck,dSala de massagem,dGramado,dCinema,dQuadra de squash,dCopa,dCozinha americana,dGerador elétrico,dBrinquedoteca,dDespensa,dBar,dLareira,dSalão de jogos,dVaranda fechada com vidro,dMóvel planejado,dJanela de alumínio,dVentilação natural,dJanela grande,dDependência de empregados,dHall de entrada,dBanheiro de serviço,dAmbientes integrados,dPé direito alto,dSala grande,dPiso frio,dHidromassagem,dChurrasqueira na varanda,dArmário embutido,dPraça,dPiscina aquecida,dEspaço teen,dQuarto de serviço,dEscada,dAndar inteiro,dEspaço fitness,dCozinha grande,dVista panorâmica,dGás Encanado,dPiso laminado,dPiscina para adulto,dEspaço verde / Parque,dForno de pizza,dCentro de estética,dCâmera de segurança,dGuarita,dCoworking,dFogão,dSolarium,dCampo de futebol,dCozinha gourmet,dBanheira,dGesso - Sanca - Teto Rebaixado,dEspaço Pet,dEntrada de serviço,dPiscina privativa,dFechadura digital,dPiso de madeira,dManobrista,dEstacionamento,dMezanino,dSala de almoço,dRonda/Vigilância,dMuro de vidro,dSala pequena,dImóvel de esquina,dAdministração,dChuveiro a gás,dSala de reunião,dSala de massagem,dArvorismo,dBiblioteca,dPista de cooper,dCondomínio inteligente,dBar na piscina,dRestaurante,dSalão de convenção,dIsolamento acústico,dEntrada lateral,dEspaço zen,dRedario,dMeio andar,dPiscina coberta,dEstacionamento para visitantes,dQuarto extra reversível,dLoja,dEspaço de beleza,dCobertura coletiva,dCarregador eletrônico para carro e bicicleta,dPiscina semi-olímpica,dColeta seletiva de lixo,dPiso vinílico,dLaje,dVista para lago,dÁrvore frutífera,dOfurô,dIsolamento térmico,dPossui divisória,dMuro e grade,dFreezer,dAreia Branca,dBom Retiro,dBoqueirão,dCampo Grande,dCastelo,dCentro,dEmbaré,dEncruzilhada,dEstuario,dGonzaga,dItararé,dJabaquara,dJosé Menino,dMacuco,dMarapé,dMorro Nova Cintra,dPompeia,dPonta da Praia,dSaboó,dVila Belmiro,dVila Matias,dVila Nova,dCondominio,dIptu,dQuartos,dVagas,dAndar,dSuites,nrQtdComodidades,nrPrecoFixo,nrPrecoFixo_m2,nrIptu_m2,nrCondominio_m2,nrComodos,nrComodos_m2,nrBanheiros_Suites,nrVagas_Quartos,nrCondominio_Andar,dtCriacao_Mes,dtCriacao_Trimestre,dtCriacao_SemanaAno
AP1774,2751319805,2024-10-23,29/05/2025,Ápice Imobiliária Inteligente,749000,2100,361,"Boqueirão, Santos - SP",235,4,3,1,9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,2461,10.472340425531915,1.5361702127659576,8.936170212765957,8,0.03404255319148936,3.0,0.25,233.33333333333334,10,4,43
28511,2730628342,2024-07-25,29/05/2025,Invista Inteligência Imobiliária,700000,1250,300,"Campo Grande, Santos - SP",116,2,3,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,23,1550,13.362068965517242,2.586206896551724,10.775862068965518,6,0.05172413793103448,3.0,0.5,1250.0,7,3,30
FAL3652,2807592318,2025-05-20,29/05/2025,Falcao Assessoria Imobiliaria,798000,950,69,"Rua Tocantins - Gonzaga, Santos - SP",62,2,2,1,11,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,18,1019,16.43548387096774,1.1129032258064515,15.32258064516129,5,0.08064516129032258,2.0,0.5,86.36363636363636,5,2,21
8243,2760620448,2024-12-01,29/05/2025,Fioravante Imoveis Ltda - Me,2500000,2500,950,"Rua Machado de Assis - Boqueirão, Santos - SP",204,3,5,3,20,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,15,3450,16.91176470588235,4.6568627450980395,12.254901960784315,11,0.05392156862745098,1.6666666666666667,1.0,125.0,12,4,48
AP03046,2805359194,2025-05-13,29/05/2025,Officina De Negocios 013 Imobiliaria Ltda,380000,687,118,"Embaré, Santos - SP",79,2,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,12,805,10.189873417721518,1.4936708860759493,8.69620253164557,4,0.05063291139240506,2.0,0.5,343.5,5,2,20
AP03528,2756789586,2024-11-14,29/05/2025,Globalize Imóveis,1500000,1150,580,"Rua Doutor Egydio Martins - Ponta da Praia, Santos - SP",100,2,3,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,17,1730,17.3,5.8,11.5,7,0.07,1.5,1.0,1150.0,11,4,46
4064,2765169679,2024-12-19,29/05/2025,Apollo-On,590000,1100,237,"Avenida Doutor Epitácio Pessoa, 107 - Embaré, Santos - SP",98,2,2,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,13,1337,13.642857142857142,2.4183673469387754,11.224489795918368,4,0.04081632653061224,2.0,0.5,366.6666666666667,12,4,51
AP5744,2751949843,2024-10-25,29/05/2025,Chave Santos Imóveis,1350000,900,220,"Rua Alexandre Martins - Aparecida, Santos - SP",85,2,2,1,8,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,11,1120,13.176470588235293,2.588235294117647,10.588235294117647,4,0.047058823529411764,2.0,0.5,112.5,10,4,43
14087,2778497127,2025-02-11,29/05/2025,Familia Imoveis Consultoria,690000,1060,250,"Avenida Dino Bueno - Ponta da Praia, Santos - SP",83,2,2,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,11,1310,15.783132530120483,3.0120481927710845,12.771084337349398,4,0.04819277108433735,2.0,0.5,530.0,2,1,7
20085,2617621307,2023-03-09,29/05/2025,Invista Inteligência Imobiliária,550000,800,85,"Ponta da Praia, Santos - SP",60,1,1,1,7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,16,885,14.75,1.4166666666666667,13.333333333333334,2,0.03333333333333333,1.0,1.0,114.28571428571429,3,1,10
