codigo_anunciante,codigo_zapimoveis,dtCriacao,dtColeta,imobiliaria,nrPreco,condominio,iptu,endereco,floorSize,numberOfRooms,numberOfBathroomsTotal,numberOfParkingSpaces,floorLevel,FURNISHED,POOL,ELEVATOR,LAVABO,SAUNA,PORCELAIN,INTERCOM,AIR_CONDITIONING,numberOfSuites,PETS_ALLOWED,BALCONY,BACKYARD,SPORTS_COURT,BARBECUE_GRILL,LAUNDRY,ALARM_SYSTEM,SERVICE_AREA,GARDEN,DEPOSIT,PLAYGROUND,SEA_VIEW,GOURMET_BALCONY,KITCHEN,PARTY_HALL,CABLE_TV,KITCHEN_CABINETS,SAFETY_CIRCUIT,GATED_COMMUNITY,HEATING,CONCIERGE_24H,WATCHMAN,GOURMET_SPACE,GYM,BICYCLES_PLACE,DINNER_ROOM,PAVED_STREET,RECEPTION,CLOSET,CARETAKER,ARMORED_SECURITY_CABIN,RECREATION_AREA,ELECTRONIC_GATE,INTERNET_ACCESS,BLINDEX_BOX,BEDROOM_WARDROBE,BATHROOM_CABINETS,DISABLED_ACCESS,HOME_OFFICE,SPA,TENNIS_COURT,INDOOR_SOCCER,MOUNTAIN_VIEW,CHILDRENS_POOL,DECK,MASSAGE_ROOM,GRASS,CINEMA,SQUASH,COPA,AMERICAN_KITCHEN,ELECTRIC_GENERATOR,TOYS_PLACE,PANTRY,BAR,FIREPLACE,GAMES_ROOM,WALL_BALCONY,PLANNED_FURNITURE,ALUMINUM_WINDOW,NATURAL_VENTILATION,LARGE_WINDOW,EMPLOYEE_DEPENDENCY,ENTRANCE_HALL,SERVICE_BATHROOM,INTEGRATED_ENVIRONMENTS,HIGH_CEILING_HEIGHT,LARGE_ROOM,COLD_FLOOR,WHIRLPOOL,BARBECUE_BALCONY,BUILTIN_WARDROBE,SQUARE,HEATED_POOL,TEEN_SPACE,SERVICE_ROOM,STAIR,FULL_FLOOR,FITNESS_ROOM,LARGE_KITCHEN,PANORAMIC_VIEW,PLATED_GAS,LAMINATED_FLOOR,ADULT_POOL,GREEN_SPACE,PIZZA_OVEN,BEAUTY_CENTER,SECURITY_CAMERA,SECURITY_CABIN,COWORKING,COOKER,SOLARIUM,FOOTBALL_FIELD,GOURMET_KITCHEN,BATHTUB,SANCA,PET_SPACE,SERVICE_ENTRANCE,PRIVATE_POOL,DIGITAL_LOCKER,WOOD_FLOOR,VALET_PARKING,PARKING,MEZZANINE,LUNCH_ROOM,PATROL,GLASS_WALL,SMALL_ROOM,CORNER_PROPERTY,ADMINISTRATION,GAS_SHOWER,MEETING_ROOM,MASSAGE,TREE_CLIMBING,LIBRARY,HIKING_TRAIL,SMART_CONDOMINIUM,POOL_BAR,RESTAURANT,COVENTION_HALL,SOUNDPROOFING,SIDE_ENTRANCE,ZEN_SPACE,REDARIO,HALF_FLOOR,COVERED_POOL,GUEST_PARKING,REVERSIBLE_ROOM,STORES,BEAUTY_ROOM,COVERAGE,ELETRIC_CHARGER,SEMI_OLYMPIC_POOL,ECO_GARBAGE_COLLECTOR,VINYL_FLOOR,SLAB,LAKE_VIEW,FRUIT_TREES,HOT_TUB,THERMAL_INSULATION,DIVIDERS,WALLS_GRIDS,FREEZER,ORCHID_PLACE,DRESS_ROOM2,PLAYGROUND_2,RAMP,CHILDREN_CARE,DRYWALL,LAND,GRAVEL,SMART_APARTMENT,CARETAKER_HOUSE,ECO_CONDOMINIUM,WATER_TANK,SOLAR_ENERGY,PAY_PER_USE_SERVICES,GEMINADA,CLIMBING_WALL,VEGETABLE_GARDEN,EDICULE,CARPET,GOLF_FIELD,DRESS_ROOM,BURNT_CEMENT,SKATE_LANE,LAKE
12319,2711741107,30/04/2024,29/05/2025,Familia Imoveis Consultoria,R$ 1.700.000,R$ 1.800,R$ 700,"Rua Azevedo Sodré - Boqueirão, Santos - SP",236 m²,4 quartos,5 banheiros,2 vagas,8 andar,,,Elevador,,,,Interfone,Ar-condicionado,3 suítes,,,,,,,,,,,,,,,,,,,,,Portaria 24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP14068,2749579032,15/10/2024,29/05/2025,R3 Imóveis,R$ 690.000,R$ 1.071,R$ 257,"Avenida Marechal Floriano Peixoto, 235 - Pompeia, Santos - SP",119 m²,2 quartos,3 banheiros,1 vaga,3 andar,,,,,,,,,1 suíte,,,,,,,,,,,,,,,,,,,Condomínio fechado,,Portaria 24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP2639,2805268938,13/05/2025,29/05/2025,Litoral House,R$ 620.000,R$ 938,R$ 285,"Gonzaga, Santos - SP",69 m²,2 quartos,3 banheiros,1 vaga,2 andar,,Piscina,,,,Porcelanato,Interfone,,1 suíte,,Varanda,,,Churrasqueira,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP14383,2758311820,22/11/2024,29/05/2025,R3 Imóveis,R$ 2.800.000,isento,isento,"Rua Coronel Proost de Sousa, 19 - Embaré, Santos - SP",98 m²,2 quartos,4 banheiros,2 vagas,28 andar,,Piscina,,,,,,,2 suítes,,,,,,,,,,,,Vista para o mar,,,Salão de festas,,,,,,Portaria 24h,,Espaço gourmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerador elétrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14697,2808848915,25/05/2025,29/05/2025,Familia Imoveis Consultoria,R$ 400.000,R$ 380,R$ 93,"Rua Doutor Germano Melchert - Embaré, Santos - SP",53 m²,2 quartos,1 banheiro,,2 andar,,,,,,,,,,,,,,,,,,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19184,2606725955,19/01/2023,29/05/2025,Invista Inteligência Imobiliária,R$ 2.199.000,R$ 2.300,R$ 573,"Boqueirão, Santos - SP",264 m²,3 quartos,5 banheiros,1 vaga,1 andar,Mobiliado,,Elevador,,,,Interfone,Ar-condicionado,2 suítes,,Varanda,,,Churrasqueira,,,Área de serviço,,,,Vista para o mar,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28296,2728976431,17/07/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 1.100.000,R$ 2.175,R$ 241,"Gonzaga, Santos - SP",123 m²,3 quartos,3 banheiros,2 vagas,8 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP0082,2802230516,01/05/2025,29/05/2025,Mais Imóveis Santos,R$ 330.000,R$ 500,R$ 95,"Avenida Affonso Penna - Embaré, Santos - SP",58 m²,2 quartos,1 banheiro,1 vaga,,,,,,,,,,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP09320,2745668320,28/09/2024,29/05/2025,Duarte Prime Brokers,R$ 1.400.000,R$ 999,R$ 395,"Rua Euclydes da Cunha - Gonzaga, Santos - SP",95 m²,2 quartos,3 banheiros,2 vagas,7 andar,Mobiliado,Piscina,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,Varanda,,,Churrasqueira,Lavanderia,,,,,Playground,Vista para o mar,Varanda gourmet,Cozinha,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,Bicicletário,,,,,,,Área de lazer,,,,,,,,,,,,Piscina infantil,Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10506,2741589295,12/09/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 470.000,R$ 865,R$ 282,"Vila Matias, Santos - SP",102 m²,2 quartos,2 banheiros,1 vaga,7 andar,,,Elevador,,,,Interfone,,,,,,,,,,Área de serviço,,,,,,Cozinha,Salão de festas,,,Circuito de segurança,Condomínio fechado,,,,,,,,,,Closet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP6740,2751949364,25/10/2024,29/05/2025,Chave Santos Imóveis,R$ 300.000,R$ 422,R$ 49,"Avenida Affonso Penna - Ponta da Praia, Santos - SP",46 m²,1 quarto,1 banheiro,1 vaga,3 andar,,,,,,,Interfone,Ar-condicionado,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32608,2782585417,27/02/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 360.000,R$ 460,R$ 150,"Vila Matias, Santos - SP",70 m²,2 quartos,1 banheiro,1 vaga,2 andar,,,,,,,Interfone,,,,,,,,,,Área de serviço,,,,,,Cozinha,,,,Circuito de segurança,Condomínio fechado,Aquecimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03999,2747122446,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 775.000,R$ 559,R$ 362,"Rua Godofredo Fraga - Marapé, Santos - SP",64 m²,2 quartos,2 banheiros,1 vaga,3 andar,,Piscina,,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,Quadra poliesportiva,Churrasqueira,,Sistema de alarme,,,,Playground,,,,Salão de festas,TV à cabo,Armário na cozinha,Circuito de segurança,,,Portaria 24h,,Espaço gourmet,Academia,Bicicletário,,,,,,,Área de lazer,,,,,,,,,,Quadra de futebol de salão,,Piscina infantil,Deck,,,,,,,,,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC0205,2712249319,02/05/2024,29/05/2025,Claudio Rogerio Carbone,R$ 330.000,R$ 550,R$ 50,"Avenida Conselheiro Nébias - Boqueirão, Santos - SP",39 m²,1 quarto,1 banheiro,1 vaga,8 andar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,2741323455,11/09/2024,29/05/2025,Santos Conecta,R$ 689.000,R$ 700,R$ 270,"Avenida Governador Fernando Costa - Ponta da Praia, Santos - SP",110 m²,2 quartos,2 banheiros,1 vaga,2 andar,,,Elevador,,,,Interfone,,1 suíte,,Varanda,,,Churrasqueira,,,,,,,,,,,TV à cabo,,Circuito de segurança,,,Portaria 24h,Vigia,,,,,,Recepção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14219,2792234257,29/03/2025,29/05/2025,Imob Santos Imóveis,R$ 1.170.000,R$ 1.240,R$ 400,"Rua Cyra - José Menino, Santos - SP",100 m²,3 quartos,2 banheiros,2 vagas,10 andar,,,,,,,,,1 suíte,,,,,,,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28543,2731248231,28/07/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 840.000,R$ 800,R$ 327,"Macuco, Santos - SP",86 m²,2 quartos,2 banheiros,2 vagas,2 andar,,Piscina,Elevador,,,,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,,Churrasqueira,,Sistema de alarme,Área de serviço,,,,,,Cozinha,Salão de festas,,,,Condomínio fechado,Aquecimento,Portaria 24h,Vigia,,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14128,2580314745,14/09/2022,29/05/2025,Invista Inteligência Imobiliária,R$ 800.000,R$ 1.400,R$ 300,"Embaré, Santos - SP",150 m²,3 quartos,3 banheiros,1 vaga,3 andar,,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03589,2549981217,02/02/2022,29/05/2025,Duarte Prime Brokers,R$ 930.000,R$ 980,R$ 390,"Rua Dona Maria Máximo - Ponta da Praia, Santos - SP",94 m²,2 quartos,3 banheiros,2 vagas,14 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,,2 suítes,,Varanda,,,Churrasqueira,,,,,,Playground,,Varanda gourmet,,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,Bicicletário,,,,,,Guarita blindada,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2804894825,11/05/2025,29/05/2025,Cristiane Soares,R$ 589.000,R$ 500,R$ 200,"Rua Rio Grande do Sul, 2 - José Menino, Santos - SP",49 m²,1 quarto,1 banheiro,1 vaga,,,Piscina,Elevador,,,,Interfone,,,Aceita animais,Varanda,,,Churrasqueira,,,,,,,,,,Salão de festas,,Armário na cozinha,,,Aquecimento,Portaria 24h,,,Academia,Bicicletário,,,,,,,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambientes integrados,,,,,,Armário embutido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03946,2747124727,04/10/2024,29/05/2025,Ricci Consultoria Imobiliaria,R$ 1.810.000,R$ 1.800,R$ 413,"Avenida Marechal Floriano Peixoto - Pompeia, Santos - SP",100 m²,3 quartos,3 banheiros,2 vagas,36 andar,,Piscina,Elevador,,,,,,2 suítes,Aceita animais,,,,,,,,,,,Vista para o mar,,Cozinha,Salão de festas,,Armário na cozinha,,,,Portaria 24h,,,Academia,Bicicletário,,,,,,Guarita blindada,Área de lazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,2781520922,24/02/2025,29/05/2025,Invista Inteligência Imobiliária,R$ 495.000,R$ 1.100,R$ 209,"Aparecida, Santos - SP",99 m²,2 quartos,2 banheiros,1 vaga,6 andar,,,Elevador,,,,Interfone,Ar-condicionado,,,Varanda,,,,Lavanderia,,Área de serviço,,,,,,Cozinha,Salão de festas,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP03011,2796044645,10/04/2025,29/05/2025,Officina De Negocios 013 Imobiliaria Ltda,R$ 2.650.000,R$ 1.800,R$ 400,"Boqueirão, Santos - SP",185 m²,3 quartos,3 banheiros,1 vaga,,Mobiliado,,Elevador,,,,Interfone,,1 suíte,Aceita animais,,,,,Lavanderia,,,,,,Vista para o mar,,Cozinha,,,Armário na cozinha,Circuito de segurança,,,Portaria 24h,,,,,,,,,,Guarita blindada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MRBO5Q,2642271768,03/07/2023,29/05/2025,Jose Ronaldo Ferreira De Lima,R$ 1.000.000,não informado,não informado,"Avenida Presidente Wilson, 94 - Gonzaga, Santos - SP",54 m²,1 quarto,1 banheiro,1 vaga,,Mobiliado,Piscina,Elevador,,Sauna,,,Ar-condicionado,,,,,,Churrasqueira,Lavanderia,,,,,,,,,Salão de festas,,,,,,Portaria 24h,,,Academia,Bicicletário,,,,,,,,Portão eletrônico,,,,,Acesso para deficientes,,Spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coworking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP3186,2794623852,05/04/2025,29/05/2025,Ápice Imobiliária Inteligente,R$ 1.799.000,R$ 1.200,R$ 460,"Boqueirão, Santos - SP",130 m²,3 quartos,3 banheiros,2 vagas,9 andar,,Piscina,Elevador,,,Porcelanato,Interfone,Ar-condicionado,1 suíte,Aceita animais,Varanda,,,Churrasqueira,,Sistema de alarme,Área de serviço,Jardim,,,Vista para o mar,Varanda gourmet,Cozinha,Salão de festas,TV à cabo,,,,,Portaria 24h,,Espaço gourmet,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerador elétrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,2741323956,11/09/2024,29/05/2025,Santos Conecta,R$ 870.000,R$ 800,R$ 300,"Rua José Caballero - Gonzaga, Santos - SP",57 m²,2 quartos,1 banheiro,1 vaga,7 andar,Mobiliado,Piscina,Elevador,,,,Interfone,,1 suíte,,Varanda,,,Churrasqueira,,,,Jardim,,Playground,,,,,TV à cabo,,Circuito de segurança,,,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,Escritório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP3965,2768317332,03/01/2025,29/05/2025,Ocb Administração,R$ 615.000,R$ 550,R$ 262,"Ponta da Praia, Santos - SP",50 m²,1 quarto,1 banheiro,1 vaga,7 andar,,,Elevador,,,Porcelanato,Interfone,Ar-condicionado,,Aceita animais,,,,,,,Área de serviço,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29052,2764003027,14/12/2024,29/05/2025,Invista Inteligência Imobiliária,R$ 750.000,R$ 764,R$ 143,"Embaré, Santos - SP",75 m²,2 quartos,2 banheiros,1 vaga,4 andar,Mobiliado,,Elevador,,,,Interfone,Ar-condicionado,1 suíte,,,,,,,,,,,,Vista para o mar,,Cozinha,,,,,Condomínio fechado,,Portaria 24h,Vigia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2255,2752610925,29/10/2024,29/05/2025,Conceito 013 Imóveis,R$ 850.000,R$ 345,R$ 565,"Rua Godofredo Fraga, 20 - Marapé, Santos - SP",64 m²,2 quartos,2 banheiros,1 vaga,3 andar,Mobiliado,Piscina,Elevador,,Sauna,,Interfone,,1 suíte,,,,Quadra poliesportiva,Churrasqueira,Lavanderia,,,,,Playground,,Varanda gourmet,,Salão de festas,,,Circuito de segurança,,,Portaria 24h,Vigia,Espaço gourmet,Academia,,,,,,,,,,,,,,,Escritório,,Quadra de tênis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espaço teen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP0105,2807283813,19/05/2025,29/05/2025,Clicou Comprou - Imóveis,R$ 520.000,R$ 900,R$ 160,"Avenida Ana Costa - Gonzaga, Santos - SP",104 m²,2 quartos,2 banheiros,1 vaga,,,,,,,,Interfone,Ar-condicionado,,,,,,,,,Área de serviço,Jardim,,,,,Cozinha,,TV à cabo,,,Condomínio fechado,Aquecimento,Portaria 24h,,,,Bicicletário,,,,,,,,,Conexão à internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espaço verde / Parque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4133,2773767116,24/01/2025,29/05/2025,Apollo-On,R$ 695.000,R$ 1.286,R$ 172,"Avenida Marechal Floriano Peixoto, 265 - Pompeia, Santos - SP",128 m²,2 quartos,2 banheiros,1 vaga,1 andar,,,Elevador,,,,,,,,,,,,Lavanderia,,,,,,,,Cozinha,,,,,Condomínio fechado,,,,,,,,,Recepção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP02095,2734021648,10/08/2024,29/05/2025,Officina De Negocios 013 Imobiliaria Ltda,R$ 1.600.000,R$ 2.000,R$ 220,"Boqueirão, Santos - SP",155 m²,4 quartos,1 banheiro,2 vagas,3 andar,,,Elevador,,,,,Ar-condicionado,1 suíte,,,,,,,,,,,,,,,,,Armário na cozinha,,,,Portaria 24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM4516,2809880940,29/05/2025,29/05/2025,Hm Imóveis,R$ 285.000,R$ 480,R$ 130,"Rua Sigefredo Magalhães, 383 - Areia Branca, Santos - SP",64 m²,2 quartos,1 banheiro,1 vaga,,,,Elevador,,,,,,,,,,,Churrasqueira,,,,,,,,,,,,,Circuito de segurança,,,Portaria 24h,,,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,2788557640,19/03/2025,29/05/2025,Conceito 013 Imóveis,R$ 1.700.000,R$ 2.525,R$ 740,"Rua República Argentina, 22 - Gonzaga, Santos - SP",204 m²,4 quartos,4 banheiros,2 vagas,6 andar,,,Elevador,,,,Interfone,,3 suítes,,Varanda,,,,,,,,,,,,,Salão de festas,TV à cabo,,,,,,Vigia,,Academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP02985,2789994038,22/03/2025,29/05/2025,Officina De Negocios 013 Imobiliaria Ltda,R$ 405.000,R$ 400,R$ 140,"Campo Grande, Santos - SP",76 m²,2 quartos,1 banheiro,1 vaga,2 andar,,,,,,,,,,,,,,,,,,,,,,,,,,Armário na cozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
